Название аптеки,Адрес,Телефон,Цена
Искамед ООО Аптека N113,"Минск-Центральный, ул. Нововиленская, 27, БЦ Левада",(017) 2316022,41.25 р.
Искамед ООО Аптека N82,"Мозырь, ул. Рыжкова, 94, ТЦ Бобровский",(0236) 257123,41.25 р.
Искамед ООО Аптека N91,"Минск-Московский, аг. Озерцо, ул. Строителей, 1",(017) 5159563,41.25 р.
АльфаАптека Аптека N15 ГаленаФарм ООО,"Брест, ул. Куйбышева, 13Б-5",(0162) 282163,41.25 р.
Искамед ООО Аптека N60,"Могилев, ул. Якубовского, 90",(0222) 658415,41.25 р.
Искамед ООО Аптека N81,"Мозырь, ул. Притыцкого, 17А",(0236) 243200,41.25 р.
Искамед ООО Аптека N94,"Барановичи, ул. Притыцкого, 85-71",(0163) 631563,41.25 р.
Искамед ООО Аптека N101,"Гродно, ул. Суворова, 306",(0152) 390791,41.25 р.
Искамед ООО Аптека N61,"Горки, ул. Якубовского, 24",(02233) 47818,41.25 р.
Искамед ООО Аптека N75,"Минск-Партизанский, ул. Уральская, 6",(017) 3601112,41.25 р.
Искамед ООО Аптека N92,"Минск-Октябрьский, ул. Аэродромная, 32",(017) 2351459,41.25 р.
Искамед ООО Аптека N112,"Барановичи, ул. Курчатова, 1",(0163) 607125,41.25 р.
Искамед ООО Аптека N76,"Пинск, пр-т Жолтовского, 18, в здании ТЦ",(0165) 611520,41.25 р.
Искамед ООО Аптека N80,"Барановичи, ул. Комсомольская, 29-2",(0163) 614222,41.25 р.
Искамед ООО Аптека N117,"Жодино, ул. 50 лет Октября, 2",(0177) 565335,41.25 р.
Искамед ООО Аптека N11,"Минск-Центральный, ул. Тимирязева, 125/2, Мир моды",(017) 2596035,41.25 р.
Искамед ООО Аптека N49,"Сморгонь, ул. Юбилейная, 10/3",(01592) 44944,41.25 р.
Искамед ООО Аптека N37,"Заславль, ул. Советская, 81",(017) 5141023,41.25 р.
АльфаАптека Аптека N26 Фитобел ООО,"Минск-Московский, ул. Слободская, 47",(017) 3631679,41.25 р.
Гродненское РУП Фармация Аптека N232,"Островец, ул. Короткевича, 4",(01591) 74921,41.27 р.
Гродненское РУП Фармация Аптека N56,"Мосты, ул. Зеленая, 92А-2, рядом с маг. Нива",(01515) 68646,41.27 р.
Планета Здоровья Аптека N13 ООО Аптека N28,"Верхнедвинск, ул. Кобзуна, 1-2",+375215167298,41.31 р.
Гомельское УП Фармация Аптека N145,"Речица, аг. Короватичи, ул. Советская, 142А",(02340) 98756,41.34 р.
Гомельское УП Фармация Аптека N84/2,"Лельчицы, аг. Глушковичи, ул. Бединой, 38",(02356) 46077,41.34 р.
ГратиаФарм ООО Аптека N4,"Брест, ул. Дубровская, 10Б-1, маг. Выбор",(0162) 571111,41.34 р.
Белфармация Аптека N61 (филиал 4),"Минск-Первомайский, ул. Макаенка, 17, центр медицинской реабилитации и бальнеолечения",(017) 2720292,41.36 р.
Белфармация Аптека N68 (филиал 1),"Минск-Фрунзенский, ул. Кунцевщина, 22, 5-я детская пол-ка",(017) 3554964,41.36 р.
Белфармация Аптека N75,"Минск-Советский, ул. Мирошниченко, 1, к. 1, пом. 4",(017) 3474162,41.36 р.
АльфаАптека Аптека N23 Табина ООО,"Минск-Заводской, пр-т Партизанский, 81Д-17, м. Партизанская, подземный переход, выход в сторону ул. Жилуновича",(029) 3987003,41.36 р.
Мелисса Аптека N30 УП Медфарминвест,"Дзержинск, ул. 1-я Ленинская, 43Б, пом 5,6",(017) 1643126,41.50 р.
Лигматон ООО Аптека N10,"Гродно, пр-т Янки Купалы, 16А-1, ТЦ Корона, пом. 247–255",(0152) 660453,41.55 р.
Радикс Аптека N17 пятой категории ООО Диалпро,"Городок, ул. Советская, 22, Калинка",(0213) 957951,41.62 р.
Минская Фармация Аптека N81,"Любань, г.п. Уречье, ул. Ленина, 8",(01794) 68151,41.63 р.
Гродненское РУП Фармация Аптека N101,"Вороново, ул. Советская, 64, маг. Евроопт",(01594) 45379,41.70 р.
Гродненское РУП Фармация Аптека N104,"Волковыск, ул. Горбатова, 1, районная пол-ка УЗ ЦРБ",(01512) 67983,41.70 р.
Гродненское РУП Фармация Аптека N111,"Кореличи, ул. 8 Марта, 16, Белагропромбанк",(01596) 70732,41.70 р.
Гродненское РУП Фармация Аптека N115,"Лида, ул. Мицкевича, 25-18",(0154) 621013,41.70 р.
Гродненское РУП Фармация Аптека N118,"Мосты, аг. Дубно, ул. 40 лет БССР, 6",(01515) 32339,41.70 р.
Гродненское РУП Фармация Аптека N13,"Щучин, г.п. Острино, ул. Гродненская, 42",(01514) 21004,41.70 р.
Гродненское РУП Фармация Аптека N132,"Слоним, ул. Войкова, 51А/1, районная пол-ка",(01562) 61980,41.70 р.
Гродненское РУП Фармация Аптека N134,"Гродно, ул. Лизы Чайкиной, 45-1, рядом с кафе Заря",(0152) 650219,41.70 р.
Гродненское РУП Фармация Аптека N135,"Гродно, б-р Ленинского комсомола, 36А, напротив ресторана Золотой теленок",(0152) 445998,41.70 р.
Гродненское РУП Фармация Аптека N138,"Новогрудок, ул. Ломоносова, 4А",(01597) 44614,41.70 р.
Гродненское РУП Фармация Аптека N139,"Лида, ул. Черняховского, 2",(0154) 641462,41.70 р.
Гродненское РУП Фармация Аптека N142,"Вороново, ул. Советская, 71Б, на территории ЦРБ",(01594) 25216,41.70 р.
Гродненское РУП Фармация Аптека N149,"Гродно, ул. Болдина, 11, гродненский областной клинический кардиологический центр",(0152) 447405,41.70 р.
Гродненское РУП Фармация Аптека N15,"Вороново, г.п. Радунь, ул. Советская, 100А",(01594) 45579,41.70 р.
Гродненское РУП Фармация Аптека N150,"Гродно, ул. Транспортная, 3, 2-я пол-ка",(0152) 651080,41.70 р.
Гродненское РУП Фармация Аптека N152,"Гродно, ул. Доватора, 23, 1-я детская пол-ка",(0152) 624743,41.70 р.
Гродненское РУП Фармация Аптека N154,"Мосты, пр-т Мира, 2А, маг. Евроопт",(01515) 68553,41.70 р.
Гродненское РУП Фармация Аптека N156,"Ивье, ул. Карла Маркса, 73, пол-ка",(01595) 60614,41.70 р.
Гродненское РУП Фармация Аптека N160,"Гродно, ул. Григоровича, 15, амбулатория",(0152) 339464,41.70 р.
Гродненское РУП Фармация Аптека N162,"Волковыск, ул. Горбатова, 4, маг. Евроопт",(01512) 59913,41.70 р.
Гродненское РУП Фармация Аптека N168,"Зельва, пер. Больничный, 5, ЦРБ",(01564) 70560,41.70 р.
Гродненское РУП Фармация Аптека N170,"Гродно, ул. Пестрака, 4",(0152) 663677,41.70 р.
Гродненское РУП Фармация Аптека N173,"Новогрудок, ул. Франциска Скорины, 2, детская пол-ка У3 ЦРБ",(01597) 33892,41.70 р.
Гродненское РУП Фармация Аптека N178,"Сморгонь, ул. Синицкого, 4, филиал педиатрического отделения районной пол-ки",(01592) 36112,41.70 р.
Гродненское РУП Фармация Аптека N180,"Гродно, ул. Обухова, 15/1, 5-я городская пол-ка",(0152) 611236,41.70 р.
Гродненское РУП Фармация Аптека N185,"Ошмяны, ул. Юбилейная, 9/11",(01593) 75399,41.70 р.
Гродненское РУП Фармация Аптека N199,"Гродно, пр-т Янки Купалы, 71, возле гостиницы Турист",(0152) 390068,41.70 р.
Гродненское РУП Фармация Аптека N200,"Гродно, ул. Врублевского, 46/1, 4-я пол-ка",(0152) 611395,41.70 р.
Гродненское РУП Фармация Аптека N201,"Новогрудок, ул. Волчецкого, 51А, пол-ка УЗ ЦРБ",(01597) 45131,41.70 р.
Гродненское РУП Фармация Аптека N205,"Гродно, ул. Дзержинского, 54А-3, маг. Санта",(0152) 681245,41.70 р.
Гродненское РУП Фармация Аптека N211,"Ошмяны, ул. Советская, 126",(01593) 79136,41.70 р.
Гродненское РУП Фармация Аптека N212,"Гродно, ул. Огинского, 15, 8-ая пол-ка",(0152) 623218,41.70 р.
Гродненское РУП Фармация Аптека N215,"Гродно, ул. Максима Горького, 77, роддом",(0152) 643006,41.70 р.
Гродненское РУП Фармация Аптека N22,"Гродно, ул. В. Глухова, 28-53",(0152) 783506,41.70 р.
Гродненское РУП Фармация Аптека N220,"Гродно, ул. Суворова, 21-67, стоматологическая пол-ка",(0152) 652923,41.70 р.
Гродненское РУП Фармация Аптека N226,"Ошмяны, ул. Первомайская, 3",(01593) 21520,41.70 р.
Гродненское РУП Фармация Аптека N227,"Слоним, ул. Ершова, 58, маг. Евроопт",(01562) 64472,41.70 р.
Гродненское РУП Фармация Аптека N228,"Гродно, ул. Южная, 7А",(0152) 672552,41.70 р.
Гродненское РУП Фармация Аптека N231,"Сморгонь, ул. Советская, 83, маг. Родны Кут",(01592) 38261,41.70 р.
Гродненское РУП Фармация Аптека N237,"Гродно, ул. Брикеля, 26, маг. Санта",(0152) 680394,41.70 р.
Гродненское РУП Фармация Аптека N241,"Слоним, ул. Школьная, 1, пом. 1",(01562) 65941,41.70 р.
Гродненское РУП Фармация Аптека N245,"Волковыск, ул. Горбатова, 3В",(01512) 93404,41.70 р.
Гродненское РУП Фармация Аптека N248,"Гродно, ул. Садакова, 1, маг. Евроопт",(0152) 688168,41.70 р.
Гродненское РУП Фармация Аптека N249,"Гродно, б-р Ленинского комсомола, 44/2, маг. Санта",(0152) 688247,41.70 р.
Гродненское РУП Фармация Аптека N250,"Гродно, ул. Химиков, 5, 7-я городская пол-ка",(0152) 632674,41.70 р.
Гродненское РУП Фармация Аптека N258,"Слоним, ул. Красноармейская, 73Г, супермаркет Светофор",(01562) 25579,41.70 р.
Гродненское РУП Фармация Аптека N270,"Волковыск, ул. Жолудева, 26",(01512) 63081,41.70 р.
Гродненское РУП Фармация Аптека N271,"Гродно, ул. Озерское шоссе, 14, напротив маг. ГроДар",(0152) 714737,41.70 р.
Гродненское РУП Фармация Аптека N41,"Мосты, аг. Куриловичи, ул. Мира, 65",(01515) 63019,41.70 р.
Гродненское РУП Фармация Аптека N45,"Сморгонь, ул. Юбилейная, 14-65, филиал терапевтического отделения районной пол-ки",(01592) 37393,41.70 р.
Гродненское РУП Фармация Аптека N5,"Волковыск, ул. Жолудева, 40",(01512) 92688,41.70 р.
Гродненское РУП Фармация Аптека N51,"Лида, ул. Машерова, 12, маг. Евроопт",(0154) 610475,41.70 р.
Гродненское РУП Фармация Аптека N54,"Слоним, ул. Войкова, 36",(01562) 43056,41.70 р.
Гродненское РУП Фармация Аптека N63,"Гродно, б-р Ленинского комсомола, 52, областная пол-ка",(0152) 960384,41.70 р.
Гродненское РУП Фармация Аптека N76,"Скидель, ул. Кирова, 3",(0152) 478457,41.70 р.
Гродненское РУП Фармация Аптека N77,"Лида, аг. Тарново, ул. Молодежная, 4",(0154) 534366,41.70 р.
Гродненское РУП Фармация Аптека N78,"Гродно, ул. Виктора Саяпина, 6, маг. Копеечка",(0152) 443105,41.70 р.
Гродненское РУП Фармация Аптека N92,"Слоним, Коссовский тр-т, 98, городская пол-ка",(01562) 23974,41.70 р.
Гродненское РУП Фармация Аптека N94,"Гродно, ул. Щорса, 11Б-4",(0152) 641380,41.70 р.
Гродненское РУП Фармация ЦМА N136,"Волковыск, ул. Социалистическая, 2",(01512) 67754,41.70 р.
Гродненское РУП Фармация ЦМА N146,"Лида, ул. Крупской, 7",(0154) 622903,41.70 р.
Гродненское РУП Фармация ЦМА N61,"Слоним, пл. Ленина, 3",(01562) 66105,41.70 р.
Гродненское РУП Фармация ЦРА N10,"Мосты, ул. Советская, 48-10А",(01515) 65198,41.70 р.
Гродненское РУП Фармация ЦРА N11,"Свислочь, ул. Красноармейская, 36",(01513) 77274,41.70 р.
Гродненское РУП Фармация ЦРА N60,"Новогрудок, ул. Гродненская, 10-2",(01597) 47031,41.70 р.
Гродненское РУП Фармация ЦРА N99,"Сморгонь, ул. Советская, 16, пом. 105",(01592) 42189,41.70 р.
Гродненское РУП Фармация Аптека N268,"Гродно, аг. Путришки, ул. Интернациональная, 9-3",(0152) 321665,41.70 р.
Гродненское РУП Фармация Аптека N4,"Лида, ул. Пролыгина, 1-42",(0154) 652750,41.70 р.
АльфаАптека Аптека N6 ОДО Салюслайн,"Гродно, ул. Победы, 47",(0152) 692098,41.70 р.
АльфаАптека Аптека N15 ОДО Салюслайн,"Гродно, ул. Максима Горького, 52-38",(0152) 442972,41.70 р.
АльфаАптека Аптека N9 Не Ска ООО,"Лида, ул. Победы, 43-2",(01546) 44105,41.70 р.
Альфа-аптека Аптека N10 ОДО Салюслайн,"Гродно, ул. Соломовой, 82, пом. 4.8-12 ТЦ Розовый Фламинго",(0152) 602023,41.70 р.
АльфаАптека Аптека N18 ОДО Салюслайн,"Гродно, ул. Советских Пограничников, 106-20",(0152) 621267,41.70 р.
АльфаАптека Аптека N3 Не Ска ООО,"Лида, ул. Коммунистическая, 50, маг. Green",(0154) 611700,41.70 р.
Гродненское РУП Фармация Аптека N214,"Волковыск, д. Ковали, сан. Энергетик",(01512) 68300,41.70 р.
Минская Фармация Аптека N303,"Смолевичи, ул. Социалистическая, 52А-99",(01776) 25282,41.87 р.
Витебское УП Фармация Аптека N102,"Шарковщина, пер. Народный, 6",(02154) 61360,41.91 р.
Витебское УП Фармация Аптека N116,"Браслав, д. Слободка",(02153) 22093,41.91 р.
Витебское УП Фармация Аптека N123,"Орша, ул. Новаторов, 3, 2-я городская пол-ка, медсанчасть льнокомбината",(0216) 547618,41.91 р.
Витебское УП Фармация Аптека N147,"Сенно, д. Яново, ул. Богушевская, 28",(02135) 58812,41.91 р.
Витебское УП Фармация Аптека N182,"Орша, аг. Бабиничи, ул. Молодежная, 2, амбулатория аг. Бабиничи",(0216) 587373,41.91 р.
Витебское УП Фармация Аптека N234,"Поставы, ул. Вокзальная, 5, рынок Горизонт",(02155) 40237,41.91 р.
Витебское УП Фармация Аптека N35,"Орша, аг. Ореховск, ул. Белгрэс, 13, СШ аг. Ореховск",(0216) 230181,41.91 р.
Белана ООО ПКФ Аптека N2,"Брест, ул. Пушкинская, 38-15",(0162) 566270,41.93 р.
Могилевское РУП Фармация Аптека N1,"Могилев, ул. Первомайская, 59",(0222) 659281,42.00 р.
Могилевское РУП Фармация Аптека N100,"Бобруйск, ул. Пролетарская, 50, Хирургический корп. БСМП",(0225) 708219,42.00 р.
Могилевское РУП Фармация Аптека N104,"Могилев, ул. Королева, 21",(0222) 631332,42.00 р.
Могилевское РУП Фармация Аптека N110,"Бобруйск, ул. Комсомольская, 29, Пол-ка №2",(0225) 722476,42.00 р.
Могилевское РУП Фармация Аптека N112,"Бобруйск, ул. Новошоссейная, 2А",(0225) 738260,42.00 р.
Могилевское РУП Фармация Аптека N121,"Бобруйск, ул. Западная, 26А, маг. Евроопт",(0225) 704465,42.00 р.
Могилевское РУП Фармация Аптека N122,"Бобруйск, ул. Ульяновская, 21",(0225) 793304,42.00 р.
Могилевское РУП Фармация Аптека N125,"Кличев, аг. Ореховка, ул. Победы, 10",(02236) 72512,42.00 р.
Могилевское РУП Фармация Аптека N129,"Белыничи, ул. Оборонная, 1",(02232) 72942,42.00 р.
Могилевское РУП Фармация Аптека N13,"Могилев, пр-т Мира, 9",(0222) 769296,42.00 р.
Могилевское РУП Фармация Аптека N132,"Быхов, ул. Максима Богдановича, 1",(02231) 76922,42.00 р.
Могилевское РУП Фармация Аптека N133,"Глуск, ул. Семенова, 5А",(02230) 78289,42.00 р.
Могилевское РУП Фармация Аптека N134,"Климовичи, ул. Северная, 9",(02244) 72008,42.00 р.
Могилевское РУП Фармация Аптека N14,"Шклов, ул. Советская, 1",(02239) 72133,42.00 р.
Могилевское РУП Фармация Аптека N149,"Климовичи, ул. Ленина, 12",(02244) 37715,42.00 р.
Могилевское РУП Фармация Аптека N149/10,"Бобруйск, ул. Ульяновская, 49-900",(0225) 788291,42.00 р.
Могилевское РУП Фармация Аптека N150,"Бобруйск, ул. Минская, 133, маг. Green",(0225) 432393,42.00 р.
Могилевское РУП Фармация Аптека N152,"Могилев, пр-т Пушкинский, 12, ТЦ Арбат",(0222) 633490,42.00 р.
Могилевское РУП Фармация Аптека N153,"Климовичи, ул. Коммунистическая, 13",(02244) 37230,42.00 р.
Могилевское РУП Фармация Аптека N155,"Кличев, ул. Красноармейская, 19",(02236) 78408,42.00 р.
Могилевское РУП Фармация Аптека N155/11,"Бобруйск, ул. Минская, 73-53",(0225) 776674,42.00 р.
Могилевское РУП Фармация Аптека N16,"Могилев, ул. Строителей, 22А",(0222) 774947,42.00 р.
Могилевское РУП Фармация Аптека N160,"Кричев, ул. Комсомольская, 62, пом. 2,3",(02241) 29074,42.00 р.
Могилевское РУП Фармация Аптека N17,"Могилев, пр-т Шмидта, 28-131",(0222) 706047,42.00 р.
Могилевское РУП Фармация Аптека N188,"Могилев, ул. Первомайская, 57, ТЦ Атриум",(0222) 427250,42.00 р.
Могилевское РУП Фармация Аптека N189,"Бобруйск, ул. Пролетарская, 50, БСПМ",(0225) 436917,42.00 р.
Могилевское РУП Фармация Аптека N192,"Могилев, ул. 30 лет Победы, 14, маг. Белмаркет",(0222) 721842,42.00 р.
Могилевское РУП Фармация Аптека N193,"Могилев, ул. Криулина, 31",(0222) 721881,42.00 р.
Могилевское РУП Фармация Аптека N198,"Могилев, ул. Терехина, 9, ТЦ Атлас",(0222) 782632,42.00 р.
Могилевское РУП Фармация Аптека N2,"Могилев, пр-т Витебский, 29",(0222) 736570,42.00 р.
Могилевское РУП Фармация Аптека N201,"Могилев, пл. Привокзальная, 4Б, 2 этаж, пом. 3",(0222) 626423,42.00 р.
Могилевское РУП Фармация Аптека N202,"Могилев, ул. Гришина, 3/46",(0222) 700421,42.00 р.
Могилевское РУП Фармация Аптека N204,"Могилев, пл. Привокзальная, ЖД вокзал, зал ожидания",(0222) 649723,42.00 р.
Могилевское РУП Фармация Аптека N208,"Могилев, пр-т Мира, 69, пом. 1-3",(0222) 783213,42.00 р.
Могилевское РУП Фармация Аптека N21,"Могилев, ул. Каштановая, 2-3",(0222) 729373,42.00 р.
Могилевское РУП Фармация Аптека N210,"Могилев, ул. Симонова, 29Б, маг. Милена",(0222) 405606,42.00 р.
Могилевское РУП Фармация Аптека N211,"Могилев, ул. Кулешова, 1, маг. Евроопт Супер",(0222) 638123,42.00 р.
Могилевское РУП Фармация Аптека N215,"Могилев, ул. Габровская, 32, маг. Санта",(0222) 743419,42.00 р.
Могилевское РУП Фармация Аптека N222,"Могилев, пр-т Пушкинский, 24",(0222) 704913,42.00 р.
Могилевское РУП Фармация Аптека N225,"Могилев, ул. Циолковского, 6, маг. Копеечка",(0222) 735658,42.00 р.
Могилевское РУП Фармация Аптека N226,"Горки, ул. Якубовского, 5-56",(02233) 75783,42.00 р.
Могилевское РУП Фармация Аптека N228,"Могилев, ул. Якубовского, 44, ТЦ Авеню",(0222) 429233,42.00 р.
Могилевское РУП Фармация Аптека N23,"Могилев, ул. Островского, 1Б",(0222) 636025,42.00 р.
Могилевское РУП Фармация Аптека N231,"Костюковичи, ул. Ленинская, 70",(02245) 70242,42.00 р.
Могилевское РУП Фармация Аптека N27,"Могилев, пр-т Витебский, 42",(0222) 740026,42.00 р.
Могилевское РУП Фармация Аптека N28,"Могилев, ул. Мовчанского, 43-73",(0222) 761625,42.00 р.
Могилевское РУП Фармация Аптека N3,"Могилев, пр-т Пушкинский, 43-52",(0222) 426084,42.00 р.
Могилевское РУП Фармация Аптека N42,"Могилев, ул. Тишки Гартного, 12, маг. Копеечка",(0222) 623702,42.00 р.
Могилевское РУП Фармация Аптека N45,"Могилев, пр-т Шмидта, 41, п-ка №6",(0222) 745822,42.00 р.
Могилевское РУП Фармация Аптека N47,"Могилев, ул. Кожевенная, 10А, пол-ка №4",(0222) 645327,42.00 р.
Могилевское РУП Фармация Аптека N49,"Могилев, пер. Березовский, 10, пол-ка №9",(0222) 602440,42.00 р.
Могилевское РУП Фармация Аптека N51,"Могилев, ул. Челюскинцев, 150",(0222) 417675,42.00 р.
Могилевское РУП Фармация Аптека N52,"Могилев, ул. Ленинская, 93, Автовокзал",(0222) 739676,42.00 р.
Могилевское РУП Фармация Аптека N54,"Могилев, ул. Первомайская, 71",(0222) 711465,42.00 р.
Могилевское РУП Фармация Аптека N57,"Могилев, б-р Непокоренных, 37В, 1 этаж, пом. 34, 35)",(0222) 422737,42.00 р.
Могилевское РУП Фармация Аптека N59,"Чаусы, пер. Первомайский, 5",(02242) 71438,42.00 р.
Могилевское РУП Фармация Аптека N6,"Могилев, ул. 30 лет Победы, 32",(0222) 735277,42.00 р.
Могилевское РУП Фармация Аптека N60,"Могилев, ул. Бялыницкого-Бирули, 9",(0222) 706327,42.00 р.
Могилевское РУП Фармация Аптека N63,"Могилев, ул. Бялыницкого-Бирули, 12, Консультативная пол-ка",(0222) 749797,42.00 р.
Могилевское РУП Фармация Аптека N66,"Могилев, ул. Бялыницкого-Бирули, 12/3, Областная больница",(0222) 624404,42.00 р.
Могилевское РУП Фармация Аптека N68,"Могилев, ул. Симонова, 55Б, Детская пол-ка №4",(0222) 630142,42.00 р.
Могилевское РУП Фармация Аптека N75/1,"Бобруйск, ул. Социалистическая, 60",(0225) 721930,42.00 р.
Могилевское РУП Фармация Аптека N76,"Могилев, ул. Тишки Гартного, 2, Пол-ка №3",(0222) 623976,42.00 р.
Могилевское РУП Фармация Аптека N76/2,"Бобруйск, ул. Пролетарская, 37, пол-ка N1",(0225) 708276,42.00 р.
Могилевское РУП Фармация Аптека N77/3,"Бобруйск, ул. Минская, 20-133",(0225) 734069,42.00 р.
Могилевское РУП Фармация Аптека N79,"Могилев, ул. Крупской, 176, Пол-ка №10",(0222) 728135,42.00 р.
Могилевское РУП Фармация Аптека N79/4,"Бобруйск, ул. Кирова, 139B",(0225) 702148,42.00 р.
Могилевское РУП Фармация Аптека N88,"Могилев, ул. Карла Маркса, 15, Больница СМП",(0222) 707351,42.00 р.
Могилевское РУП Фармация Аптека N9,"Могилев, ул. Калиновского, 27А",(0222) 763670,42.00 р.
Могилевское РУП Фармация Аптека N91,"Могилев, пр-т Витебский, 4Б, маг. Евроопт",(0222) 787725,42.00 р.
Могилевское РУП Фармация Аптека N93,"Могилев, ул. Симонова, 57Б, Пол-ка №8",(0222) 639325,42.00 р.
Могилевское РУП Фармация Аптека N96/10,"Могилев, ул. Романова, 1",(0222) 245272,42.00 р.
Могилевское РУП Фармация Быховская ЦРА N36,"Быхов, ул. Ленина, 15А-1",(02231) 49530,42.00 р.
Могилевское РУП Фармация Глусская ЦРА N99,"Глуск, ул. Пушкинская, 6",(02230) 71690,42.00 р.
Могилевское РУП Фармация Горецкая ЦРА N33,"Горки, ул. Якубовского, 29-37",(02233) 34987,42.00 р.
Могилевское РУП Фармация Кировская ЦРА N82,"Кировск, ул. Пушкинская, 11-2",(02237) 77602,42.00 р.
Могилевское РУП Фармация Кричевская ЦРА N9,"Кричев, ул. Советская, 14А",(02241) 23175,42.00 р.
Могилевское РУП Фармация Круглянская ЦРА N44,"Круглое, ул. Советская, 31",(02234) 78924,42.00 р.
Могилевское РУП Фармация Славгородская ЦРА N23,"Славгород, ул. Ленинская, 39",(02246) 78302,42.00 р.
Могилевское РУП Фармация ЦРА N81,"Кличев, ул. Советская, 3В",(02236) 78422,42.00 р.
Ремедика Интерофицина Плюс ООО Аптека N28,"Гомель, ул. Быховская, 107",(0232) 291433,от 42.00 р.
АльфаАптека Аптека N10 БООО СпецАфармация,"Бобруйск, ул. 50 лет ВЛКСМ, 20А",(0225) 719244,42.00 р.
Ремедика ЛКЛ ООО Аптека N7,"Гродно, ул. Советских Пограничников, 51/2-1",(0152) 689501,42.01 р.
Белана ООО ПКФ Аптека N1,"Брест, б-р Космонавтов, 30-81",(0162) 211133,42.04 р.
Белана ООО ПКФ Аптека N10,"Брест, ул. Суворова, 96Б, маг. Fix Price",(0162) 537701,от 42.04 р.
Белана ООО ПКФ Аптека N13,"Волковыск, г.п. Красносельский, ул. Строителей, 19Б, по плану пом. 38, маг. Санта",(01512) 51923,42.04 р.
Белана ООО ПКФ Аптека N17,"Брест, ул. Лейтенанта Рябцева, 31-43",(0162) 580650,42.04 р.
Белана ООО ПКФ Аптека N5,"Брест, ул. Янки Купалы, 6-67",(0162) 255766,42.04 р.
Белана ООО ПКФ Аптека N6,"Брест, ул. Брестских дивизий, 24, маг. Санта",(0162) 933147,42.04 р.
Белана ООО ПКФ Аптека N7,"Брест, ул. Гоголя, 85В, маг. Санта",(0162) 575257,42.04 р.
Гомельское УП Фармация Аптека N209/6,"Гомель, с/с Ченковский 11/11 санаторий",(0232) 907083,42.12 р.
Планета Здоровья Аптека N3 ООО Аптека N28,"Вилейка, ул. Чапаева, 60, маг. Евроопт",+375177132102,42.21 р.
Витвар ООО Аптека N1 2-ой категории,"Витебск, пр-т Московский, 42/63",(0212) 675476,42.28 р.
Витвар ООО Аптека N17,"Витебск, ул. Фрунзе, 76-35",(0212) 261059,42.28 р.
Аптека Медицинский центр МТЗ,"Минск-Партизанский, ул. Стахановская, 10А",(017) 3588991,42.36 р.
ФармОстров ООО Аптека N6,"Гомель, ул. Карповича, 10-1",(0232) 269027,42.36 р.
Ледиком ООО Аптека N10,"Крупки, ул. Кирова, 34А",(0179) 627102,42.36 р.
Ледиком ООО Аптека N11,"Червень, ул. Барыкина, 67Б",(0171) 450570,42.36 р.
Ледиком ООО Аптека N12,"Червень, ул. Чапаева, 23-2",(0171) 455470,42.36 р.
Ледиком ООО Аптека N17,"Марьина Горка, ул. Буденного, 18",(0171) 345106,42.36 р.
Ледиком ООО Аптека N5,"Березино, ул. Хонинова, 14-1",(0171) 567970,42.36 р.
Ледиком ООО Аптека N6,"Березино, ул. Марии Романович, 55",(01715) 69433,42.36 р.
Ледиком ООО Аптека N8,"Березино, ул. Марии Романович, 3/2",(0171) 567782,42.36 р.
Брестское РУП Фармация Аптека N1,"Брест, б-р Космонавтов, 24-159",(0162) 354411,42.42 р.
Брестское РУП Фармация Аптека N100,"Брест, ул. Карла Маркса, 3-18",(0162) 591887,42.42 р.
Брестское РУП Фармация Аптека N102,"Брест, ул. МОПРа, 6-31",(0162) 530654,42.42 р.
Брестское РУП Фармация Аптека N105,"Брест, ул. Ленина, 35-40",(0162) 538212,42.42 р.
Брестское РУП Фармация Аптека N107,"Пинск, ул. Брестская, 76-33",(0165) 614700,42.42 р.
Брестское РУП Фармация Аптека N111,"Белоозерск, ул. Строителей, 12",(01643) 41434,42.42 р.
Брестское РУП Фармация Аптека N113,"Барановичи, ул. Комсомольская, 35-39",(0163) 656490,42.42 р.
Брестское РУП Фармация Аптека N121,"Кобрин, ул. Советская, 132А, в здании поликлиники",(01642) 38718,42.42 р.
Брестское РУП Фармация Аптека N13,"Коссово, ул. Максима Горького, 7",(01645) 22257,42.42 р.
Брестское РУП Фармация Аптека N136,"Барановичи, ул. Космонавтов, 7-85",(0163) 674109,42.42 р.
Брестское РУП Фармация Аптека N139,"Брест, пр-т Партизанский, 14-50",(0162) 250661,42.42 р.
Брестское РУП Фармация Аптека N142,"Брест, ул. Янки Купалы, 18-72",(0162) 566315,42.42 р.
Брестское РУП Фармация Аптека N144,"Ивацевичи, ул. Заслонова, 2, в здании ЖД вокзала",(01645) 90203,42.42 р.
Брестское РУП Фармация Аптека N145,"Пинск, ул. Центральная, 70-90",(0165) 610659,42.42 р.
Брестское РУП Фармация Аптека N15,"Дрогичин, г.п. Антополь, ул. Гастелло, 14",(01644) 61148,42.42 р.
Брестское РУП Фармация Аптека N152,"Брест, ул. Советской Конституции, 8, в здании центральной поликлиники",(0162) 282312,42.42 р.
Брестское РУП Фармация Аптека N154,"Барановичи, ул. Тельмана, 161, в здании поликлиники",(0163) 632437,42.42 р.
Брестское РУП Фармация Аптека N156,"Пинск, ул. Иркутско-Пинской Дивизии, 75-71",(0165) 610301,42.42 р.
