Название,Адрес,Время работы,Телефон,Широта,Долгота
Белфармация Аптека N57,"Минск-Ленинский, пр-т Рокоссовского, 114, пом. 5Н, остановка ""Кинотеатр Салют""","08.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-17.00, вс.; Санитарные часы: вторая среда каждого месяца с 13:00 до 17:00;",(017) 3971502,53.857659,27.608310
Белфармация Аптека N57 (филиал 1),"Минск-Ленинский, пр-т Рокоссовского, 114, пом. 10Н, маг. Санта","09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Перерыв в субботу и воскресенье: 14.00-14.30; Санитарные часы: четвертая среда каждого месяца с 14:00 до 16:00;",(017) 3797209,53.857555,27.608324
Белфармация Аптека N57 (филиал 2),"Минск-Ленинский, пр-т Рокоссовского, 113, пом. 4Н","08.00-20.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.; Санитарные часы: первый вторник каждого месяца с 8:00 до 10:00;",(017) 2708208,53.858322,27.615085
Белфармация Аптека N57 (филиал 3),"Минск-Ленинский, пр-т Рокоссовского, 134-2, 23-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: первый понедельник каждого месяца с 8:00 до 10:00;",(017) 3990342,53.854567,27.604178
Белфармация Аптека N57 (филиал 4),"Минск-Ленинский, пр-т Рокоссовского, 140-119","08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",(017) 2420115,53.853609,27.606163
Белфармация Аптека N58,"Минск-Октябрьский, ул. Корженевского, 25-1","08.00-22.30, пн.–пт.; 09.00-22.00, сб.; 10.00-22.00, вс.; Санитарные часы: третий вторник каждого месяца с 8:00 до 12:00;",(017) 3772721,53.846517,27.500786
Белфармация Аптека N58 (филиал 1),"Минск-Октябрьский, ул. Казинца, 94, 29-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: четвертая пятница каждого месяца с 14:00 до 16:00;",(017) 3244509,53.847271,27.504620
Белфармация Аптека N58 (филиал 2),"Минск-Московский, ул. Каролинская, 3, 39-я городская пол-ка, 3 этаж, р-н Брилевичи","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: третья пятница каждого месяца с 14:00 до 16:00;",(017) 3979978,53.849865,27.482995
Белфармация Аптека N58 (филиал 3),"Минск-Московский, ул. Каролинская, 2-177А",Круглосуточно; Санитарные часы: первый понедельник каждого месяца с 9:00 до 11:00; Перерыв 23:50-00:10;,(017) 3664584,53.848905,27.483696
Белфармация Аптека N59,"Минск-Центральный, ул. Осипенко, 2-6Н","08.00-21.00, пн.–пт.; 09.00-19.00, сб.; выходной, вс.; Санитарные часы: четвертый четверг каждого месяца с 8:00 до 12:00;",(017) 3630506,53.925147,27.546490
Белфармация Аптека N59 (филиал 1),"Минск-Центральный, ул. Щедрина, 83, 16-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: четвертая среда каждого месяца с 13:00 до 16:00;",(017) 2501340,53.934840,27.557185
Белфармация Аптека N59 (филиал 2),"Минск-Центральный, ул. Ратомская, 7-480д","09.00-19.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.; Перерыв: 13:00-13:30; Санитарные часы: четвертый вторник каждого месяца с 9:00 до 11:00;",(017) 2602761,53.942195,27.459809
Белфармация Аптека N6,"Минск-Фрунзенский, ул. Пимена Панченко, 44-218","08.00-21.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Санитарные часы: четвертая пятница каждого месяца с 8:00 до 12:00;",(017) 3383635,53.884765,27.418088
Белфармация Аптека N6 (филиал 1),"Минск-Московский, ул. Семашко, 10, пом. 2, пом. 3, 1 этаж возле кафетерия, Минский консультационно-диагностический центр","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: третья пятница каждого месяца с 18:00 до 20:00;",(017) 3672070,53.858862,27.496392
Белфармация Аптека N61,"Минск-Советский, Логойский тр-т, 1/1-338","08.00-20.30, пн.–пт.; 10.00-18.00, сб.; выходной, вс.; Санитарные часы: четвертый понедельник каждого месяца с 8:00 до 12:00;",(017) 3244162,53.940515,27.605552
Белфармация Аптека N61 (филиал 1),"Минск-Советский, ул. Гамарника, 16/1-9, за универсамом БелМаркет","09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-18.00, вс.; Санитарные часы: вторая среда каждого месяца с 9:00 до 11:00;",(017) 2724756,53.957231,27.616705
Белфармация Аптека N61 (филиал 3),"Минск-Советский, Логойский тр-т, 7-3Н, маг. Соседи","09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: первый понедельник  каждого месяца с 9:00 до 11:00;",(017) 3530167,53.941882,27.607169
Белфармация Аптека N61 (филиал 4),"Минск-Первомайский, ул. Макаенка, 17, центр медицинской реабилитации и бальнеолечения","08.00-20.00, пн.–пт.; 08.00-15.00, сб.; выходной, вс.; Санитарные часы: первый понедельник каждого месяца с 8:00 до 10:00;",(017) 2720292,53.917921,27.628601
Белфармация Аптека N61 (филиал 5),"Минск-Первомайский, ул. Макаенка, 13, амбулаторный центр КГБ","07.30-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: вторая среда каждого месяца с 14:00 до 16:00;",(017) 2728233,53.920276,27.627096
Белфармация Аптека N62,"Минск-Фрунзенский, пр-т Пушкина, 41, пом. 2Н, ст. м. Пушкинская","08.00-21.00, пн.–пт.; 09.00-20.00, сб.; 10.00-18.00, вс.; Санитарные часы: третий четверг каждого месяца с 8:00 до 12:00;",(017) 3560798,53.910036,27.494102
Белфармация Аптека N62 (филиал 1),"Минск-Фрунзенский, ул. Притыцкого, 29-72, пом. N15, маг. Евроопт","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: третий четверг каждого месяца с 10:00 до 12:00;",(017) 3783323,53.907568,27.484248
Белфармация Аптека N62 (филиал 2),"Минск-Фрунзенский, ул. Притыцкого, 29-84, фестивальный центр Тивали, 1 этаж","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.; Санитарные часы: третья среда каждого месяца с 10:00 до 12:00;",(017) 3000652,53.908010,27.484223
Белфармация Аптека N65,"Минск-Советский, ул. Восточная, 46-3Н","08.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: вторая среда каждого месяца с 8:00 до 12:00;",(017) 2150658,53.936034,27.596690
Белфармация Аптека N65 (филиал 1),"Минск-Советский, ул. Ломоносова, 3, 13-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: последний четверг каждого месяца с 18:00 до 20:00;",(017) 2407499,53.930930,27.597624
Белфармация Аптека N65 (филиал 2),"Минск-Советский, ул. Леонида Беды, 26-91","09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-18.00, вс.; Перерыв в субботу и воскресенье: 13:00-13:30; Санитарные часы: первый вторник каждого месяца с 14:00 до 16:00;",(017) 2410029,53.935299,27.592922
Белфармация Аптека N65 (филиал 3),"Минск-Советский, ул. Якуба Коласа, 51/1-35","09.00-20.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.; Санитарные часы: первый четверг каждого месяца с 10:00 до 12:00;",(017) 2431416,53.931074,27.598976
Белфармация Аптека N67,"Минск-Заводской, ул. Шишкина, 26-412","08.00-21.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.; Санитарные часы: четвертая среда каждого месяца с 8:00 до 12:00;",(017) 3547644,53.858671,27.633609
Белфармация Аптека N67 (филиал 1),"Минск-Заводской, ул. Шишкина, 24, 10-я детская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: четвертый вторник каждого месяца с 18:00 до 20:00;",(017) 3734261,53.860937,27.632041
Белфармация Аптека N67 (филиал 2),"Минск-Заводской, ул. Филатова, 13, 21-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: четвертая среда каждого месяца с 8:00 до 10:00;",(017) 3186676,53.869423,27.631885
Белфармация Аптека N67 (филиал 3),"Минск-Заводской, ул. Крупской, 6/1, маг. Маяк","10.00-21.00, пн.–пт.; 11.00-19.00, сб.; 11.00-19.00, вс.; Санитарные часы: первый понедельник каждого месяца с 10:00 до 12:00;",(017) 3792832,53.859138,27.626761
Белфармация Аптека N67 (филиал 4),"Минск-Ленинский, пр-т Рокоссовского, 78, пом. 1Н","10.00-21.00, пн.–пт.; 11.00-19.00, сб.; 11.00-19.00, вс.; Санитарные часы: первая пятница каждого месяца с 10:00 до 12:00;",(017) 2608172,53.864565,27.603225
Белфармация Аптека N68,"Минск-Фрунзенский, ул. Матусевича, 77-1","Круглосуточно; Санитарные часы: третий вторник каждого месяца с 8:00 до 12:00; Перерыв понедельник-пятницу 2:00-2:20; субботу ,воскресенье и праздничные дни 2:00-2:30; в последний день месяца 23:50-00:10;",(017) 3780885,53.915825,27.440999
Белфармация Аптека N68 (филиал 1),"Минск-Фрунзенский, ул. Кунцевщина, 22, 5-я детская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: второй вторник каждого месяца с 13:00 до 15:00;",(017) 3554964,53.912816,27.441161
Белфармация Аптека N68 (филиал 2),"Минск-Фрунзенский, ул. Кунцевщина, 8, 26-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: первый вторник каждого месяца с 14:00 до 16:00;",(017) 2242581,53.911194,27.438007
Белфармация Аптека N68 пятой категории,"Минск-Фрунзенский, ул. Матусевича, 56-152","09.00-21.00, пн.–пт.; 10.00-19.00, сб.; выходной, вс.; Перерыв в субботу: 14.00-14.30; Санитарные часы: четвертый вторник каждого месяца с 14:00 до 16:00; Перерыв 03.12.24: 13:30-14:00;",(017) 2432850,53.917567,27.460677
Белфармация Аптека N7,"Минск-Заводской, пр-т Партизанский, 62, пом. 1Н","Круглосуточно; Перерыв: 23:55-00:15, 6:00-6:10; Санитарные часы: первая среда каждого месяца с 8:00 до 12:00; 31.10.24-01.11.24  рецепты на аптечное изготовление не принимает.",(017) 2580103,53.873181,27.634440
Белфармация Аптека N7 (филиал 1),"Минск-Заводской, ул. Бехтерева, 5, в фойе Городского психоневрологического диспансера","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: второй четверг каждого месяца с 8:00 до 10:00;",(017) 3102628,53.876473,27.638780
Белфармация Аптека N7 (филиал 2),"Минск-Заводской, ул. Жилуновича, 4, универмаг Беларусь, 4 этаж","09.00-20.45, пн.–пт.; 09.00-20.45, сб.; 10.00-18.00, вс.; Технологические перерывы: 12.30-12.50, 15.30-15.50; Санитарные часы: второй вторник каждого месяца с 9:00 до 11:00;",(017) 2350634,53.876612,27.630349
Белфармация Аптека N7 (филиал 3),"Минск-Заводской, ул. Академика Красина, 27, гастроном N27, пос. Сосны","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; выходной, вс.; Перерыв: 12:40-13:00, 17:00-17:30; Санитарные часы: второй четверг каждого месяца с 9:00 до 11:00;",(017) 2721659,53.825696,27.766349
Белфармация Аптека N7 (филиал 4),"Минск-Заводской, пр-т Партизанский, 182, пом. 1, гипермаркет Грин","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: второй вторник каждого месяца с 9:00 до 11:00;",(017) 2531770,53.848908,27.698905
Белфармация Аптека N7 (филиал 5),"Минск-Заводской, ул. Филатова, 9, 5-я городская больница","09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13.00-13.20; Санитарный день второй четверг каждого месяца с 9:00 до 11:00;",(017) 2702962,53.870210,27.632338
Белфармация Аптека N7 (филиал 6),"Минск-Центральный, ул. Немига, 8-123, ТЦ На Немиге, 2 этаж","10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 11.00-19.00, вс.; Санитарные часы: первый вторник каждого месяца с 10:00 до 12:00;",(017) 2708683,53.903661,27.550600
Белфармация Аптека N74,"Минск-Октябрьский, ул. Казинца, 120-426","08.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Санитарные часы: второй вторник каждого месяца с 8:00 до 12:00;",(017) 3384760,53.842716,27.504004
Белфармация Аптека N74 (филиал 1),"Минск-Октябрьский, ул. Воронянского, 11/5-1Н","08.00-20.30, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Санитарные часы: третий четверг каждого месяца с 13:00 до 15:00;",(017) 3775041,53.880863,27.539855
Белфармация Аптека N74 (филиал 2),"Минск-Октябрьский, ул. Брестская, 56/1","08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: третий четверг каждого месяца с 14:00 до 16:00;",(017) 3525462,53.855486,27.519757
Белфармация Аптека N74 (филиал 3),"Минск-Октябрьский, ул. Казинца, 120-443, возле маг. Оптика","08.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: последний рабочий день каждого месяца с 8:00 до 10:00;",(017) 2715867,53.842507,27.503935
Белфармация Аптека N74 (филиал 4),"Минск-Московский, ул. Яна Чечота, 2А, 6-я детская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: первый рабочий день каждого месяца до 10:00;",(017) 2174765,53.848355,27.481420
Белфармация Аптека N75,"Минск-Советский, ул. Мирошниченко, 1, к. 1, пом. 4","08.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: первый понедельник каждого месяца с 8:00 до 12:00;",(017) 3474162,53.958712,27.605853
Белфармация Аптека N75 (филиал 1),"Минск-Советский, ул. Кольцова, 53/1, 17-я детская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: первый понедельник каждого месяца с 14:00 до 16:00; Перерыв: 13:00-13:30;",(017) 2724148,53.951812,27.602535
Белфармация Аптека N75 (филиал 2),"Минск-Советский, ул. Кольцова, 53/2, 30-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: первая пятница каждого месяца с 18:00 до 20:00;",(017) 3770413,53.951348,27.601948
Белфармация Аптека N75 (филиал 3),"Минск-Советский, ул. Веры Хоружей, 8, Комаровский рынок, 2 этаж, пав. 77, напротив центрального входа","выходной, пн.; 09.00-19.00, вт.; 09.00-19.00, ср.; 09.00-19.00, чт.; 09.00-19.00, пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: первое воскресенье  каждого месяца с 17:00 до 19:00;",(017) 2630655,53.919900,27.577393
Белфармация Аптека N75 (филиал 4),"Минск-Советский, ул. Мирошниченко, 3-5А","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.; Санитарные часы: последнее воскресенье каждого месяца с 8:00 до 10:00;",(017) 3782030,53.958590,27.606130
Белфармация Аптека N78,"Минск-Московский, пр-т Газеты Звязда, 28",Круглосуточно; Санитарные часы: четвертая среда каждого месяца с 12:00 до 16:00; Перерыв 21:15-21:30; 4:00-4:15; в первый день м-ца 00:00-00:15,(017) 3611300,53.862822,27.464715
Белфармация Аптека N78 (филиал 1),"Минск-Московский, ул. Голубева, 25, 32-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: вторая среда каждого месяца с 13:00 до 15:00;",(017) 3790637,53.865758,27.466072
Белфармация Аптека N78 (филиал 2),"Минск-Московский, ул. Алибегова, 13/1-7, пом. 17 (ТЦ Таир 2-й этаж)","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Перерыв 14.00 - 14.30; Сандень 3-я среда с 9.00 до 11.00;",(017) 2608126,53.871123,27.473792
Белфармация Аптека N79,"Минск-Фрунзенский, ул. Данилы Сердича, 88, рядом с 12-й городской пол-кой","08.00-20.30, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Санитарные часы: третий четверг каждого месяца с 12:00 до 16:00;",(017) 3561500,53.921982,27.489408
Белфармация Аптека N79 (филиал 1),"Минск-Фрунзенский, ул. Ольшевского, 61, 12-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: третья среда каждого месяца с 13:00 до 15:00;",(017) 3790652,53.922644,27.489755
Белфармация Аптека N79 (филиал 2),"Минск-Фрунзенский, ул. Налибокская, 46-280","09.30-21.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.; Санитарные часы: третья среда каждого месяца с 13:00 до 15:00;",(017) 3236199,53.928551,27.429204
Белфармация Аптека N8,"Минск-Октябрьский, ул. Чкалова, 17-34, рядом с остановкой автобуса N100","08.00-21.00, пн.–пт.; 09.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: третий вторник каждого месяца с 8:00 до 12:00;",(017) 3544152,53.876341,27.535182
Белфармация Аптека N8 (филиал 1),"Минск-Центральный, Долгиновский тр-т, 152, РНПЦ психического здоровья","08.00-18.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Санитарные часы: первая среда каждого месяца с 16:00 до 18:00;",(017) 2514082,53.953102,27.545768
Белфармация Аптека N8 (филиал 2),"Минск-Октябрьский, ул. Воронянского, 50/1, 38-я городская пол-ка, 1 этаж, пом.15","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: третий понедельник каждого месяца с 8:00 до 10:00;",(017) 2316149,53.877054,27.552059
Белфармация Аптека N8 (филиал 3),"Минск-Октябрьский, ул. Воронянского, 50/1, отдельный вход справа, 38-я городская пол-ка","08.00-21.00, пн.–пт.; 09.00-17.00, сб.; 10.00-18.00, вс.; Перерыв в субботу: 12:45-13:15; Перерыв в воскресенье: 13:45-14:15; Санитарные часы: третья среда каждого месяца с 8:00 до 10:00;",(017) 2316129,53.876972,27.552048
Белфармация Аптека N8 (филиал 4),"Минск-Октябрьский, ул. Чкалова, 12-3, пом. 17,18","08.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: третья пятница каждого месяца с 8:00 до 10:00;",(017) 2608177,53.880077,27.534891
Белфармация Аптека N80,"Минск-Ленинский, ул. Плеханова, 72","08.00-21.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Санитарные часы: третий четверг каждого месяца с 8:00 до 12:00;",(017) 3268891,53.859133,27.591755
Белфармация Аптека N80 (филиал 1),"Минск-Ленинский, ул. Плеханова, 60/2, 18-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: четвертый вторник каждого месяца с 8:00 до 10:00;",(017) 3100653,53.860918,27.596181
Белфармация Аптека N80 (филиал 2),"Минск-Ленинский, пр-т Рокоссовского, 44/2-2, мед. центр Аква-Минск клиника, 3 этаж","08.30-20.00, пн.–пт.; 09.00-19.00, сб.; выходной, вс.; Санитарные часы: третий четверг каждого месяца с 13:00 до 15:00;",(017) 3790386,53.867437,27.590568
Белфармация Аптека N81,"Минск-Московский, пр-т Газеты Правда, 20А/1-4","08.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-17.00, вс.; Санитарные часы: четвертая пятница каждого месяца с 17:00 до 21:00;",(017) 3784627,53.867614,27.484011
Белфармация Аптека N81 (филиал 2),"Минск-Московский, ул. Прилукская, 46А, Минский городской клинический центр дерматовенерологии","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: четвертая пятница каждого месяца с 18:00 до 20:00;",(017) 2249582,53.883382,27.497829
Белфармация Аптека N81 (филиал 3),"Минск-Московский, ул. Семашко, 8/1, Минский НПЦ хирургии,трансплантологии и гематологии","08.00-19.30, пн.–пт.; 09.00-15.00, сб.; выходной, вс.; Санитарные часы: четвертая пятница каждого месяца с 18:00 до 20:00;",(017) 3587971,53.859999,27.495565
Белфармация Аптека N88,"Минск-Центральный, ул. Сторожевская, 3, Троицкое предместье","08.00-20.30, пн.–пт.; 10.00-18.00, сб.; выходной, вс.; Перерыв в субботу: 13:40 - 14:00; Санитарные часы: третий вторник каждого месяца с 8:00 до 12:00;",(017) 3631993,53.909247,27.557356
Белфармация Аптека N88 (филиал 1),"Минск-Ленинский, ул. Энгельса, 25, кардиодиспансер при 2-й городской больнице, 2 этаж","08.00-19.30, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Санитарные часы: первый понедельник каждого месяца с 17:30 до 19:30;",(017) 3692452,53.898193,27.566867
Белфармация Аптека N88 (филиал 2),"Минск-Центральный, ул. Орловская, 66/9,  РНПЦ Мать и дитя, 9-й корпус консультац. поликлинич. отделения, центральн. вход, 2 этаж","08.00-19.30, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Санитарные часы: последний четверг каждого месяца с 17:30; Перерыв 11.06.24: 13:50-14:05;",(017) 3671027,53.930647,27.533065
Белфармация Аптека N9,"Минск-Советский, ул. Веры Хоружей, 11-2H","08.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Санитарные часы: второй понедельник каждого месяца с 8:00 до 12:00;",(017) 2423997,53.919057,27.575630
Белфармация Аптека N9 (филиал 1),"Минск-Советский, ул. Веры Хоружей, 8, пав. 4.1, Комаровский рынок, 1 этаж","выходной, пн.; 09.00-19.00, вт.; 09.00-19.00, ср.; 09.00-19.00, чт.; 09.00-19.00, пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: первое воскресенье каждого месяца с 17:00;",(017) 2356368,53.919749,27.577372
Белфармация Аптека N9 (филиал 2),"Минск-Советский, ул. Куйбышева, 69-171","09.00-21.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.; Санитарные часы: первый понедельник каждого месяца с 9:00 до 11:00;",(017) 3189495,53.921480,27.576775
Белфармация Аптека N90,"Минск-Заводской, ул. Нестерова, 51, пом. 8",Круглосуточно; Санитарные часы: первая пятница каждого месяца с 8:00 до 12:00; Перерыв в последний день м-ца 23:55-00:05,(017)  3733130,53.884796,27.683744
Белфармация Аптека N90 (филиал 1),"Минск-Заводской, ул. Герасименко, 49, 17-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: четвертая пятница каждого месяца с 18:00 до 20:00;",(017) 2152761,53.884530,27.680335
Белфармация Аптека N90 (филиал 2),"Минск-Заводской, ул. Ангарская, 36, пом. 3, маг. Байкальский","08.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: четвертая пятница каждого месяца с 8:00 до 10:00;",(017) 3602543,53.871305,27.685302
Белфармация Аптека N91,"Минск-Фрунзенский, ул. Одинцова, 36/1-8Н","08.00-21.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: четвертый четверг каждого месяца с 8:00 до 12:00;",(017) 3774158,53.902553,27.436284
Белфармация Аптека N91 (филиал 1),"Минск-Фрунзенский, ул. Одинцова, 75, 25-я детская пол-ка, 1 этаж, пом.67","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: первый вторник каждого месяца с 13:00 до 15:00;",(017) 3635691,53.898678,27.441527
Белфармация Аптека N91 (филиал 2),"Минск-Фрунзенский, ул. Притыцкого, 93, маг. Алми","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: третья среда каждого месяца с 9:00 до 11:00;",(017) 2215052,53.906035,27.439842
Белфармация Аптека N97,"Минск-Октябрьский, ул. Жуковского, 10/1-6Н","08.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: первый понедельник каждого месяца с 8:00 до 12:00; 31.10.24-01.11.24  рецепты на аптечное изготовление не принимает.",(017) 3705132,53.879769,27.549119
Белфармация Аптека N97 (филиал 1),"Минск-Октябрьский, ул. Воронянского, 13/2, 3-я городская пол-ка","08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: второй вторник каждого месяца с 14:00 до 16:00;",(017) 3735133,53.878930,27.544550
Белфармация Аптека N97 (филиал 2),"Минск-Октябрьский, ул. Аэродромная, 32-554","10.00-22.00, пн.–пт.; 11.00-22.00, сб.; 11.00-21.00, вс.; Санитарные часы: первая среда каждого месяца с 14:00 до 16:00;",(017) 2528113,53.871270,27.555085
Белфармация Аптека N97 (филиал 3),"Минск-Октябрьский, ул. Жуковского, 2-4н","10.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: четвертый вторник каждого месяца с 13:00 до 15:00;",(017) 2602629,53.884875,27.549919
Биотест ООО НПК Аптека N2,"Гродно, ул. Врублевского, 45-4","08.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(0152) 550500,53.705905,23.806631
Биотест ООО НПК Аптека N3,"Волковыск, ул. Жолудева, 31","09.00-19.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: второй четверг каждого месяца с 14:00 до 15:00;",(01512) 60818,53.156691,24.451305
Биотест ООО НПК Аптека N4,"Гродно, ул. Гожская, 2","09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(0152) 684581,53.754556,23.825352
Биотест ООО НПК Аптека N5,"Гродно, ул. Дзержинского, 7-93, маг. Копеечка","11.00-19.00, пн.–пт.; 11.00-19.00, сб.; 11.00-19.00, вс.",(0152) 620450,53.688382,23.836140
Биотест ООО НПК Аптека N6,"Гродно, ул. Буденного, 28-54","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-19.00, вс.",(0152) 719735,53.680927,23.842752
Биотест ООО НПК Аптека N7,"Гродно, ул. Тавлая, 46Г-72","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(0152) 569546,53.706913,23.856828
Биотест ООО НПК Аптека N8,"Гродно, б-р Ленинского комсомола, 43Б","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(0152) 440499,53.697526,23.802148
Биотест ООО НПК Аптека N9,"Гродно, ул. Поповича, 24-23","09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: третья суббота каждого месяца с 9:00 до 11:00;",(0152) 391673,53.668675,23.802651
Биотест ООО НПК Аптека-музей,"Гродно, пл. Советская, 4-1","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",(0152) 624242,53.678134,23.831595
Брестское РУП Фармация Аптека N1,"Брест, б-р Космонавтов, 24-159","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.; Праздничные дни: 10.00-18.00",(0162) 354411,52.099651,23.694579
Брестское РУП Фармация Аптека N100,"Брест, ул. Карла Маркса, 3-18","08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздн. дни: выходной",(0162) 591887,52.097165,23.683261
Брестское РУП Фармация Аптека N101,"Лунинец, аг. Кожан-Городок, ул. Петра Янкевича, 1, в здании больницы","08.30-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-13:30;                              
Праздничные дни: выходной;",(01647) 94239,52.210206,26.996950
Брестское РУП Фармация Аптека N102,"Брест, ул. МОПРа, 6-31","09.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Праздничные дни: выходной;",(0162) 530654,52.087446,23.709271
Брестское РУП Фармация Аптека N103,"Столин, аг. Рубель, ул. Комсомольская, 1А","09.00-19.00, пн.–пт.; 08.00-16.00, сб.; 08.00-16.00, вс.; Праздничные дни: выходной;",(01655) 71390,51.972715,27.067730
