Название аптеки,Адрес,Телефон,Время работы,Цена
Медтехника УП Магазин Оптика г. Наровля,"Наровля, ул. Октябрьская, 119",(02355) 43252,"08.00-16.00, пн.–пт.; выходной, сб.; выходной, вс.; обед: 13:00-13:30",
Медпростор Салон медтехники и ортопедии N26,"Светлогорск, ул. Социалистическая, 80/18",(02342) 56318,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Столичная Аптека N18 СП Самбест ООО,"Минск-Московский, ул. Романовская Слобода, 13, пом. 2Н",(017) 2436339,"08.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",
Зялёная крама Торговый объект N12 ООО Ирина-Фарм,"Минск-Первомайский, ул. Никифорова, 3, 8-я городская пол-ка",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Комфарм ООО Аптека N12,"Барановичи, ул. Баранова, 34, ул. Войкова, 14-3",(0163) 633821,"08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",
АльфаАптека Аптека N19 Табина ООО,"Минск-Московский, ул. Сергея Есенина, 38, пом. 178",(017) 3171892,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-18.00, вс.; Санитарные часы: второй понедельник месяца  с 9.00 до 11.00;",
АльфаАптека Аптека N1 Не Ска ООО,"Минск-Московский, пр-т Дзержинского, 119-862",(017) 2401800,"08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первый вторник месяца с 9.00 до 12.00;",
Витебское УП Фармация Аптека N12,"Орша, аг. Смольяны, ул. Почтовая, 4, сельский совет",(0216) 569250,"09.00-16.30, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Перерыв в понедельник-пятницу: 13.00-13.30;
Праздничные дни: выходной;",
Гродненское РУП Фармация Аптека N93,"Ошмяны, аг. Жупраны, ул. Гагарина, 1",(01593) 76387,"09.00-11.30, пн.; 09.00-11.30, вт.; выходной, ср.; 09.00-11.30, чт.; 09.00-11.30, пт.; выходной, сб.; выходной, вс.",
ADEL Аптека N71 ООО Аптека групп Центр,"Минск-Первомайский, ул. Макаенка, 11, маг. Санта",(044) 5034264,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Добрыя Леки-Эканом Аптека N48 ЗАО Аптека групп Север,"Новополоцк, ул. Молодежная, 25, ТЦ Космос, маг. Копеечка",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Медтехника УП Магазин Оптика N1,"Гомель, пр-т Победы, 25",(0232) 328938,"09.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Радикс Аптека N17 ООО Радикс-С,"Минск-Первомайский, ул. Славинского, 1/4",(017) 2702078,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Зялёная крама Торговый объект N721 ООО Ирина-Фарм,"Гродно, пр-т Янки Купалы, 87, ТЦ Тринити",7822 - А1+mts,"11.00-21.00, пн.; 11.00-21.00, вт.; 11.00-21.00, ср.; 11.00-21.00, чт.; 11.00-22.00, пт.; 11.00-22.00, сб.; 11.00-21.00, вс.",
Добрыя Леки Аптека N52 ЗАО Аптека групп Юг,"Горки, пр-т Интернациональный, 22-26",моб. 5355757,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
АльфаАптека Аптека N1 Беллерофон ООО,"Минск-Ленинский, ул. Шпилевского, 60, пом. 4Н",(017) 3957146,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй понедельник каждого месяца с 9.00 до 11.00;",
Гомельское УП Фармация Аптека N25/2,"Корма, ул. Ленина, 36А",(02337) 29002,"09.40-21.00, пн.–пт.; 09.40-21.00, сб.; 10.00-17.20, вс.; Обед: 13:40-14:00",
Добрыя Леки-Эканом Аптека N55 ООО Аптека групп Запад,"Гродно, ул. Домбровского, 3-1А",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Зялёная крама Торговый объект N731 ООО Ирина-Фарм,"Гомель, ул. Мазурова, 1, ТЦ Green",7822 - А1+mts,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Медпростор Салон медтехники и ортопедии N1,"Бобруйск, ул. Минская, 21",(0225) 707028,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
Витвар ООО Аптека N3,"Минск-Московский, пр-т Газеты Звязда, 16",(017) 2770121,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",
Витафарм ООО Аптека N12,"Брест, ул. Советская, 114-2",(0162) 531473,"09.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.; Санитарные часы: второй вторник каждого месяца с 9:00 до 11:00;",
Минская Фармация Аптека N331,"Несвиж, ул. Советская, 19",(01770) 23631,"09.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-14:00; Праздничные дни: выходной;",
Добрыя Леки Аптека N11 ЗАО Аптека групп Север,"Витебск, ул. Терешковой, 26, пом. 2",моб. 5355757,"08.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",
БелЛекоЦентр РУП Государственная аптека N22,"Минск-Центральный, Старовиленский тр-т, 28/1, маг. Евроопт",(017) 3378090,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Сан. часы: вторая среда месяца 9.00-12.00;",
Добрыя леки Аптека N8 ООО Аптека групп Центр,"Минск-Заводской, м. Могилевская, выход на сторону ТЦ Момо",моб. 5355757,"07.00-22.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",
Апека Аптека N22 ООО  КосмоФарма,"Любань, пер. Купаловский, 6 пом.7, Магазин Светофор",+375179467363,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарный день 3-ий вторник месяца 8:00-10:00",
Зялёная крама Торговый объект N21 ООО Ирина-Фарм,"Минск-Центральный, ул. Щедрина, 83, 16-я городская пол-ка",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Добрыя Леки-Эканом Аптека N6 ОДО Амадей,"Гомель, ул. Ильича, 78, Новобелицкий рынок",моб. 5355757,"08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Барановичи, Самовывоз при бронировании",(29) 6838787,"08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-20.00, вс.",
Гомельское УП Фармация Аптека N130,"Петриков, аг. Лясковичи, ул. Набережная, 2А",(02350) 93428,"08.00-16.30, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12.00 - 12.30; Праздничные дни: выходной;",
Новамедика Аптека N9,"Марьина Горка, ул. Буденного, 23",(01713) 51040,"выходной, пн.; 09.00-18.00, вт.; 09.00-18.00, ср.; 09.00-18.00, чт.; 09.00-18.00, пт.; 08.00-16.00, сб.; выходной, вс.; Праздничные дни: выходной;
Санитарный день - 3-й понедельник месяца",
АльфаАптека Аптека N4 Табина ООО,"Минск-Советский, ул. Максима Богдановича, 118",(017) 3475368,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй понедельник месяца  с 9.00 до 11.00;",
Аптека Бережливых N5 Фармпроект ООО,"Минск-Центральный, ул. Червякова, 24",(017) 3375518,"08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00;",
Брестское РУП Фармация Аптека N196,"Белоозерск, ул. Строителей, 17, в здании больницы",(01643) 38373,"08.00-20.00, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Праздничные дни: выходной;",
АльфаАптека Аптека N4 Не Ска ООО,"Минск-Московский, ул. Голубева, 24А, маг. Соседи",(017) 3442479,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первый понедельник каждого месяца с 9.00 до 11.00;",
Гомельское УП Фармация Аптека N17/1,"Рогачев, ул. Дзержинского, 17",(02339) 20815,"08.00-20.00, пн.–пт.; 08.00-18.00, сб.; выходной, вс.; Перерыв в субботу с 01.01.25: 13:00-13:30;",
Минская Фармация Аптека N72,"Молодечно, ул. Чкалова, 3",(0176) 500873,"08.30-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:30-14:00; Праздничные дни: выходной;",
Медтехника УП Магазин Оптика,"Кобрин, ул. Пушкина, 10",(01642) 74749,"09.00-17.00, пн.; 09.00-18.00, вт.; 09.00-18.00, ср.; 09.00-18.00, чт.; 09.00-18.00, пт.; 09.00-17.00, сб.; выходной, вс.",
Медпростор Салон медтехники и ортопедии N22,"Витебск, пр-т Фрунзе, 46",(029) 1070640,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Лигматон ООО Аптека N3,"Бобруйск, ул. 50 лет ВЛКСМ, 33-3, ТЦ Корона, пом. 3-2–3-10",(0225) 703827,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 12.00",
Медвакс СЗАО Аптека N15,"Молодечно, ул. Великий Гостинец, 139Б, маг. Маяк",(0176) 702556,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
АльфаАптека Аптека N35 Фитобел ООО,"Минск-Московский, ул. Космонавтов, 5А, магазин Соседи",(017) 2354720,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: третий понедельник каждого месяца с 9.00 до 11.00;",
Радикс Аптека N11 ООО Диалпро,"Поставы, ул. Юбилейная, 30",(02155) 22374,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Тишас ОДО Аптека N7,"Слуцк, ул. Ленина, 148",(01795) 46452,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Белфармация Аптека N21 (филиал 6),"Минск-Заводской, пр-т Партизанский, 26/2, пом. 4",(017) 3508634,"10.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 14:00-14:30; Санитарные часы: второй четверг каждого месяца с 10:00 до 12:00;",
Ремедика Бальзам ООО Аптека N9,"Брест, ул. Суворова, 63, пом. 80",(0162) 575781,"09.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
АльфаАптека Аптека N1 ОДО Меджел,"Минск-Партизанский, ул. Солтыса, 60",(017) 3430860,"08.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Санитарные часы: третья среда месяца с 8.00 до 11.00;",
Зялёная крама Торговый объект N783 ООО Ирина-Фарм,"Пинск, ул. Иркутско-Пинской Дивизии, 48, Пинская центральная пол-ка",7822 - А1+mts,"07.30-18.30, пн.–пт.; выходной, сб.; выходной, вс.",
Медвакс СЗАО Аптека N9,"Минск-Заводской, ул. Уборевича, 176, ТЦ Green",(017) 3684338,"08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.",
АльфаАптека Аптека N17 ОДО Салюслайн,"Гродно, ул. Суворова, 27/2",(0152) 683901,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 10.00-19.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 11.00;",
Искамед ООО Аптека N18,"Минск-Фрунзенский, ул. Одинцова, 113",(017) 2584000,"09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Санитарные часы: первая среда каждого месяца с 9:00 до 12:00;",
АльфаАптека Аптека N8 БООО СпецАфармация,"Бобруйск, б-р Приберезинский, 40",(0225) 715519,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-20.00, вс.; Санитарные часы: первое воскресенье месяца с 9.00 до 11.00;",
Витафарм ООО Аптека N18,"Брест, ул. Фомина, 14-94",(0162) 351450,"09.00-20.00, пн.–пт.; 10.00-17.00, сб.; выходной, вс.; Санитарные часы: первая среда каждого месяца с 9:00 до 11:00;",
Гродненское РУП Фармация Аптека N161,"Лида, б-р князя Гедимина, 4/54",(0154) 601583,"08.00-20.00, пн.–пт.; 08.00-16.00, сб.; 08.00-16.00, вс.; Праздничные дни: 08.00-16.00",
АльфаАптека Аптека N21 ГаленаФарм ООО,"Пинск, д. Галево, ул. Пинская, 96, пом. 2А",(0165) 644131,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: первый понедельник каждого месяца с 15:00 до 17:00;",
Брестское РУП Фармация Аптека N226,"Брест, д. Тюхиничи, ул. Прямая, 2, в здании амбулатории",(0162) 509168,"08.15-16.15, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Зялёная крама Торговый объект N59 ООО Ирина-Фарм,"Минск-Московский, Щомыслицкий с/с, 32/4, ТЦ Диамант, островок напротив касс гастронома",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Искамед ООО Аптека N17,"Жлобин, ул. Первомайская, 80Б",(02334) 25113,"выходной, пн.; 08.00-16.00, вт.; 08.00-16.00, ср.; 08.00-16.00, чт.; 08.00-16.00, пт.; 08.00-16.00, сб.; 08.00-16.00, вс.; Санитарные часы: первый вторник каждого месяца с 14:00 до 16:00;",
Добрыя Леки Аптека N3 ОДО Амадей,"Гомель, ул. Рогачевская, 5",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Добрыя Леки Аптека N34 ООО Аптека групп Центр,"Минск-Фрунзенский, пр-т Пушкина, 87А",моб. 5355757,"10.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.",
Брестское РУП Фармация Аптека N164,"Брест, ул. Суворова, 104",(0162) 524023,"08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-18.00, вс.; Праздн. дни: выходной",
Белана ООО ПКФ Аптека N6,"Брест, ул. Брестских дивизий, 24, маг. Санта",(0162) 933147,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: последнее воскресенье месяца с 9.00 до 11.00",
Медпростор Салон медтехники и ортопедии N31,"Молодечно, ул. Франциска Скорины, 14, пом. 76",(0176) 527989,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
АльфаАптека Аптека N8 ОДО Меджел,"Борисов, ул. Нормандия-Неман, 161",(0177) 980701,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 11.00;",
Гомельское УП Фармация Аптека N168/10,"Светлогорск, ул. Максима Богдановича, 27",(02342) 31090,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Перерыв: 13:30-14:00;",
Минская Фармация Аптека N298,"Молодечно, Радошковичский с/с, 1, сан. Сосновый бор, филиал",(0176) 707867,"08.00-16.20, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:40-14:00; Праздничные дни: выходной;",
Могилевское РУП Фармация Аптека N203,"Могилев, ул. Белинского, 22А, п-ка №12",(0222) 719256,"07.30-20.00, пн.–пт.; выходной, сб.; выходной, вс.; В праздничные дни аптека не работает;",
Зялёная крама Торговый объект N762 ООО Ирина-Фарм,"Молодечно, ул. Франциска Скорины, 5, 1-я пол-ка ЦРБ",7822 - А1+mts,"08.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.",
Гомельское УП Фармация Аптека N91,"Житковичи, аг. Люденевичи, ул. 1 Мая, 46",(02353) 72357,"09.00-17.30, пн.–пт.; выходной, сб.; выходной, вс.; Обеденный перерыв: 13-00 -13-30",
Брестское РУП Фармация Аптека N32,"Кобрин, аг. Городец, ул. Советская, 33",(01642) 64537,"08.30-16.00, пн.–пт.; 10.00-12.30, сб.; выходной, вс.; Праздничные дни: выходной;",
Белфармация Аптека N13 (филиал 4),"Минск-Московский, пр-т Независимости, 3-1, ТЦ Столица, верхний уровень",(017) 2150811,"09.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: первый понедельник каждого месяца с 10:00-12:00;",
Зялёная крама Торговый объект N776 ООО Ирина-Фарм,"Гомель, ул. Ильича, 286а, 1-я городская пол-ка",7822 - А1+mts,"07.30-18.30, пн.–пт.; выходной, сб.; выходной, вс.",
Зялёная крама Торговый объект N28 ООО Ирина-Фарм,"Минск-Первомайский, ул. Гинтовта, 28, 28-я городская пол-ка",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
БелЛекоЦентр РУП Государственная аптека N28,"Минск-Фрунзенский, пр-т Пушкина, 20, пом. 2-37, маг. Хит",(044) 5022840,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: третий понедельник месяца с 09.00 до 11.00",
WDL оптика N12,"Гомель, ул. Ленина, 63",(029) 1905139,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Минская Фармация Аптека N27,"Руденск, ул. Ленинская, 23",(01713) 90243,"09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
АльфаАптека Аптека N14 ЗАО Компания Интерфарм,"Орша, ул. Соляникова, 2А",(0216) 500140,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: последний понедельник месяца с 9.00 до 11.00;",
БелЛекоЦентр РУП Государственная аптека N25,"Минск-Центральный, Ждановичский с/с, 81, в здании РКМЦ, район аг. Ждановичи",(017) 5171605,"08.00-20.00, пн.–пт.; 09.00-15.00, сб.; выходной, вс.; Санитарный день: вторая среда месяца c 12.00 до 14.00",
Могилевское РУП Фармация Аптека N225,"Могилев, ул. Циолковского, 6, маг. Копеечка",(0222) 735658,"09.00-18.00, пн.; 09.00-19.00, вт.; 09.00-19.00, ср.; 09.00-19.00, чт.; 09.00-19.00, пт.; 09.00-18.00, сб.; выходной, вс.; Перерыв в понедельник и субботу: 13:00-13:20;                 
Праздничные дни: выходной;",
АльфаАптека Аптека N21 Фитобел ООО,"Жодино, ул. Рокоссовского, 9, маг. Санта",(01775) 51159,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй вторник месяца с 9.00 до 12.00;",
Добрыя Леки Аптека N11 Энергофарм ООО,"Витебск, ул. Лазо, 6, пом. 5",моб. 5355757,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Зялёная крама Торговый объект N772 ООО Ирина-Фарм,"Новополоцк, ул. Блохина, 27, 1-я городская пол-ка",7822 - А1+mts,"07.30-18.30, пн.–пт.; выходной, сб.; выходной, вс.",
Брестское РУП Фармация Аптека N126,"Пружаны, ул. Мицкевича, 27/3, в здании больницы",(01632) 35442,"08.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Медицинский магазин N1 Мир Красоты и Здоровья,"Жодино, ул. 50 лет Октября, рядом с пол-кой ЦГБ",(01775) 67253,"08.00-20.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.",
Минская Фармация Аптека N42,"Борисов, аг. Зембин, ул. Ленинская, 76",(01777) 76234,"08.00-16.20, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:00-12:20; Праздничные дни: выходной;",
Радикс Аптека N14 ООО Радикс-С,"Минск-Первомайский, ул. Гинтовта, 12",(017) 3735945,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Добрыя Леки Аптека N27 ООО Аптека групп Запад,"Слоним, ул. Брестская, 109А-3",моб. 5355757,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Новамедика Аптека N1,"Минск-Заводской, ул. Шабаны, 5, пом. 2Н",(017) 2301969,"08.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Санитарный день - 4-е воскресение месяца",
Соцфарма ООО Аптека N1,"Минск-Советский, ул. Кольцова, 55",(017) 3793110,"08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00",
Могилевское РУП Фармация Аптека N221,"Бобруйск, ул. Минская, 47-23",(0225) 730755,"09.00-17.30, пн.; 09.00-20.00, вт.; 09.00-20.00, ср.; 09.00-20.00, чт.; 09.00-20.00, пт.; 09.00-17.30, сб.; выходной, вс.; Перерыв в понедельник и субботу: 13:00-13:30; Праздничные дни: выходной; Перерыв 26.12.23: 13:00-13:30;",
Гомельское УП Фармация Аптека N118,"Петриков, д. Куритичи, ул. Советская, 13",(02350) 97543,"09.00-15.00, пн.; 09.00-15.00, вт.; 09.00-15.00, ср.; 09.00-15.00, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Перерыв: 12:00-13:00;",
Искамед ООО Аптека N77,"Гомель, пр-т Космонавтов, 22Б",(0232) 301199,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: первая среда каждого месяца с 9:00 до 12:00;",
Гомельское УП Фармация Аптека N4/15,"Гомель, д. Ченки, ул. Радужная, 23, пом. 20",(0232) 907192,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Перерыв: 14:00-14:30;",
Минская Фармация Аптека N253,"Узда, ул. Степанова, 11",(01718) 51156,"08.20-16.40, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:10-13:30; Праздничные дни: выходной;",
Зялёная крама Торговый объект N744 ООО Ирина-Фарм,"Могилев, ул. Белинского, 28, Green Mall, прикассовая зона гастронома Green",7822 - А1+mts,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Минская Фармация Аптека N105,"Несвиж, ул. 1 Мая, 44А",(01770) 55734,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.; Перерыв: 15:00-15:30; Праздничные дни: выходной;",
АльфаАптека Аптека N3 Не Ска ООО,"Лида, ул. Коммунистическая, 50, маг. Green",(0154) 611700,"09.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 11.00;",
Медвакс СЗАО Аптека N8,"Минск-Заводской, пр-т Партизанский, 182, ТЦ Green",(017) 2301854,"08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.",
Брестское РУП Фармация Аптека N90,"Ивацевичи, д. Святая Воля, ул. Шоссейная, 9",(01645) 44260,"08.30-16.30, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Медтехника УП Магазин Оптика,"Ивацевичи, ул. Комсомольская, 1",(01645) 61151,"08.00-18.00, пн.–пт.; 08.00-16.00, сб.; 08.00-16.00, вс.",
Новамедика Аптека N23,"Чашники, ул. Советская, 24А-3",(02133) 62618,"09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарный день - 3-й четверг месяца",
Медвакс СЗАО Аптека N6,"Минск-Ленинский, пр-т Независимости, 22-3Н, вход с ул. Ленина,7",(017) 3429836,"8.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-17.00, вс.",
Минская Фармация Аптека N174,"Колодищи, ул. Чкалова, 8Б/1-2",(017) 5168760,"09.30-18.00, пн.–пт.; 09.30-16.00, сб.; выходной, вс.; Перерыв: 13:00-13:30; Праздничные дни: выходной;",
Медпростор Салон медтехники и ортопедии N39,"Солигорск, ул. Заслонова, 58а/1",(044) 7477730,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Зялёная крама Торговый объект N81 ООО Ирина-Фарм,"Минск-Ленинский, Игуменский тр-т, 30",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Минская Фармация Аптека N233,"Солигорск, г.п. Красная Слобода, ул. Советская, 29Г",(0174) 314277,"выходной, пн.; 09.00-17.20, вт.; 09.00-17.20, ср.; 09.00-17.20, чт.; 09.00-17.20, пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-13:20;",
Медтехника УП Магазин Оптика г. Свислочь,"Свислочь, ул. Кирова, 2А",(01513) 76065,"08.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.",
Медицинский магазин N4 Польза,"Могилев, пр-т Пушкинский, 24",(029) 1771183,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Могилевское РУП Фармация Аптека N11,"Могилев, ул. Кутепова, 4",(0222) 420887,"08.00-19.00, пн.–пт.; 10.00-17.00, сб.; 10.00-17.00, вс.; Праздничные дни: выходной;",
Гомельское УП Фармация Аптека N1/1,"Гомель, ул. Новополесская, 11",(0232) 214682,"08.00-20.00, пн.–пт.; 08.00-14.00, сб.; выходной, вс.; Перерыв в понедельник-пятницу: 13:00-13:20; Перерыв в субботу: 12:00-12:20;",
Добрыя Леки Аптека N35 ООО Аптека групп Запад,"Лида, ул. Советская, 25-4",моб. 5355757,"08.30-20.30, пн.–пт.; 08.30-20.30, сб.; 08.30-20.30, вс.",
Брестское РУП Фармация Аптека N12,"Пружаны, г.п. Шерешево, пл. Фимина, 2, маг. Райпо",(01632) 29350,"выходной, пн.; 10.00-18.00, вт.; 10.00-18.00, ср.; 10.00-18.00, чт.; 10.00-18.00, пт.; 09.00-17.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Гродненское РУП Фармация Аптека N31,"Новогрудок, ул. Франциска Скорины, 4, Стоматологическая поликлиника УЗ ЦРБ",(01597) 43878,"08.45-17.05, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:40-14:00 Праздничные дни: выходной;",
Добрыя Леки Аптека N28 ЗАО Аптека групп Юг,"Климовичи, ул. Ленина, 11, в здании Беларусьбанка",моб. 5355757,"08.30-19.00, пн.–пт.; 08.30-19.00, сб.; 08.30-19.00, вс.",
Радикс Аптека N15 ООО Радикс-С,"Минск-Первомайский, ул. Никифорова, 45",(017) 3602037,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",
Гродненское РУП Фармация Аптека N123,"Лида, аг. Дитва, ул. Первомайская, 2",(0154) 546163,"07.45-15.45, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",
Медпростор Салон медтехники и ортопедии N28,"Барановичи, ул. Курчатова, 1-22",(0163) 633811,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Белфармация Аптека N80 (филиал 1),"Минск-Ленинский, ул. Плеханова, 60/2, 18-я городская пол-ка",(017) 3100653,"08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: четвертый вторник каждого месяца с 8:00 до 10:00;",
Радикс Аптека N6 ООО Радикс-С,"Минск-Первомайский, ул. Якуба Коласа, 32",(017) 3263703,"08.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",
Добрыя Леки Аптека N43 ОДО Амадей,"Гомель, ул. Барыкина, 183",моб. 5355757,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Добрыя Леки-Эканом Аптека N36 ЗАО Аптека групп Юг,"Гомель, ул. Катунина, 22-1",моб. 5355757,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
